,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
0,NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"1,405,359,070.78",2.60,"1,405,359,070.78","10,412,812.00",134.96,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.87,DKK,-,EFA,20240531
1,ASML,ASML HOLDING NV,Information Technology,Equity,"1,205,309,112.00",2.23,"1,205,309,112.00","1,275,000.00",945.34,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
2,NESN,NESTLE SA,Consumer Staples,Equity,"902,423,028.81",1.67,"902,423,028.81","8,519,474.00",105.92,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
3,AZN,ASTRAZENECA PLC,Health Care,Equity,"767,711,880.02",1.42,"767,711,880.02","4,946,499.00",155.20,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
4,7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"732,330,559.17",1.35,"732,330,559.17","33,837,720.00",21.64,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
5,SHEL,SHELL PLC,Energy,Equity,"731,379,228.33",1.35,"731,379,228.33","20,431,860.00",35.80,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
6,MC,LVMH,Consumer Discretionary,Equity,"702,016,296.29",1.30,"702,016,296.29","879,932.00",797.81,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
7,NOVN,NOVARTIS AG,Health Care,Equity,"649,488,829.07",1.20,"649,488,829.07","6,288,895.00",103.28,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
8,SAP,SAP,Information Technology,Equity,"600,302,708.30",1.11,"600,302,708.30","3,331,939.00",180.17,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
9,ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"574,010,482.74",1.06,"574,010,482.74","2,241,747.00",256.05,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
10,HSBA,HSBC HOLDINGS PLC,Financials,Equity,"536,763,266.41",0.99,"536,763,266.41","60,537,906.00",8.87,United Kingdom,London Stock Exchange,USD,0.79,GBP,"Jan 01, 1998",EFA,20240531
11,TTE,TOTALENERGIES,Energy,Equity,"499,071,043.62",0.92,"499,071,043.62","6,860,455.00",72.75,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
12,BHP,BHP GROUP LTD,Materials,Equity,"479,018,693.97",0.89,"479,018,693.97","16,182,312.00",29.60,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
13,SIE,SIEMENS N AG,Industrials,Equity,"464,022,186.41",0.86,"464,022,186.41","2,425,019.00",191.35,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
14,ULVR,UNILEVER PLC,Consumer Staples,Equity,"435,514,779.19",0.80,"435,514,779.19","7,993,997.00",54.48,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
15,SU,SCHNEIDER ELECTRIC,Industrials,Equity,"428,756,834.04",0.79,"428,756,834.04","1,736,422.00",246.92,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
16,CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,"424,605,220.75",0.78,"424,605,220.75","5,340,941.00",79.50,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
17,OR,LOREAL SA,Consumer Staples,Equity,"376,833,110.93",0.70,"376,833,110.93","767,794.00",490.80,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
18,8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"373,819,731.08",0.69,"373,819,731.08","35,430,580.00",10.55,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
19,ALV,ALLIANZ,Financials,Equity,"364,054,555.88",0.67,"364,054,555.88","1,249,902.00",291.27,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
20,SAN,SANOFI SA,Health Care,Equity,"353,930,223.14",0.65,"353,930,223.14","3,632,160.00",97.44,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
21,BP.,BP PLC,Energy,Equity,"335,715,141.35",0.62,"335,715,141.35","54,015,824.00",6.22,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
22,UBSG,UBS GROUP AG,Financials,Equity,"331,418,581.90",0.61,"331,418,581.90","10,494,534.00",31.58,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
23,AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,"328,035,538.48",0.61,"328,035,538.48","1,674,442.00",195.91,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
24,6758,SONY GROUP CORP,Consumer Discretionary,Equity,"327,042,047.15",0.60,"327,042,047.15","3,985,500.00",82.06,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
25,8035,TOKYO ELECTRON LTD,Information Technology,Equity,"322,057,889.21",0.60,"322,057,889.21","1,504,900.00",214.01,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
26,AIR,AIRBUS GROUP,Industrials,Equity,"320,892,319.23",0.59,"320,892,319.23","1,896,022.00",169.24,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
27,6501,HITACHI LTD,Industrials,Equity,"303,944,560.76",0.56,"303,944,560.76","2,958,400.00",102.74,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
28,GSK,GLAXOSMITHKLINE,Health Care,Equity,"297,456,674.22",0.55,"297,456,674.22","13,225,541.00",22.49,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
29,CSL,CSL LTD,Health Care,Equity,"287,238,950.29",0.53,"287,238,950.29","1,541,970.00",186.28,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
30,ABBN,ABB LTD,Industrials,Equity,"279,504,504.57",0.52,"279,504,504.57","5,104,352.00",54.76,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
31,6861,KEYENCE CORP,Information Technology,Equity,"279,256,651.37",0.52,"279,256,651.37","620,792.00",449.84,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
32,1299,AIA GROUP LTD,Financials,Equity,"277,422,411.12",0.51,"277,422,411.12","35,903,600.00",7.73,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-,EFA,20240531
33,CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,Equity,"273,892,995.90",0.51,"273,892,995.90","1,715,325.00",159.67,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
34,SAN,BANCO SANTANDER SA,Financials,Equity,"265,022,352.47",0.49,"265,022,352.47","50,496,480.00",5.25,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240531
35,8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"262,925,559.20",0.49,"262,925,559.20","4,015,300.00",65.48,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
36,REL,RELX PLC,Industrials,Equity,"259,114,381.91",0.48,"259,114,381.91","5,957,678.00",43.49,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
37,SAF,SAFRAN SA,Industrials,Equity,"253,495,766.64",0.47,"253,495,766.64","1,090,647.00",232.43,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
38,RIO,RIO TINTO PLC,Materials,Equity,"250,774,145.00",0.46,"250,774,145.00","3,596,853.00",69.72,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
39,DTE,DEUTSCHE TELEKOM N AG,Communication,Equity,"250,257,440.29",0.46,"250,257,440.29","10,342,061.00",24.20,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
40,ZURN,ZURICH INSURANCE GROUP AG,Financials,Equity,"245,208,732.25",0.45,"245,208,732.25","466,994.00",525.08,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
41,IBE,IBERDROLA SA,Utilities,Equity,"242,299,562.40",0.45,"242,299,562.40","18,445,797.00",13.14,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240531
42,BNP,BNP PARIBAS SA,Financials,Equity,"242,184,647.19",0.45,"242,184,647.19","3,295,248.00",73.50,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
43,6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"239,631,099.94",0.44,"239,631,099.94","4,737,900.00",50.58,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
44,RMS,HERMES INTERNATIONAL,Consumer Discretionary,Equity,"238,721,112.47",0.44,"238,721,112.47","101,056.00","2,362.26",France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
45,DGE,DIAGEO PLC,Consumer Staples,Equity,"237,768,734.94",0.44,"237,768,734.94","7,099,370.00",33.49,United Kingdom,London Stock Exchange,USD,0.79,GBP,"Jan 01, 1998",EFA,20240531
46,8058,MITSUBISHI CORP,Industrials,Equity,"224,220,196.63",0.41,"224,220,196.63","10,667,600.00",21.02,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
47,NAB,NATIONAL AUSTRALIA BANK LTD,Financials,Equity,"223,270,712.56",0.41,"223,270,712.56","9,900,330.00",22.55,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
48,MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Equity,"216,457,575.13",0.40,"216,457,575.13","435,444.00",497.10,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
49,4063,SHIN ETSU CHEMICAL LTD,Materials,Equity,"214,173,511.72",0.40,"214,173,511.72","5,748,300.00",37.26,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
50,EL,ESSILORLUXOTTICA SA,Health Care,Equity,"209,789,211.99",0.39,"209,789,211.99","941,292.00",222.87,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
51,4568,DAIICHI SANKYO LTD,Health Care,Equity,"209,496,148.97",0.39,"209,496,148.97","5,901,985.00",35.50,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
52,CS,AXA SA,Financials,Equity,"207,919,268.60",0.38,"207,919,268.60","5,795,000.00",35.88,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
53,8031,MITSUI LTD,Industrials,Equity,"207,429,463.23",0.38,"207,429,463.23","4,089,900.00",50.72,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
54,8766,TOKIO MARINE HOLDINGS INC,Financials,Equity,"207,144,618.66",0.38,"207,144,618.66","5,995,900.00",34.55,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
55,GLEN,GLENCORE PLC,Materials,Equity,"202,544,998.18",0.37,"202,544,998.18","33,090,673.00",6.12,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
56,BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,Equity,"201,009,872.97",0.37,"201,009,872.97","18,627,783.00",10.79,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240531
57,DG,VINCI SA,Industrials,Equity,"198,676,664.69",0.37,"198,676,664.69","1,599,047.00",124.25,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
58,BATS,BRITISH AMERICAN TOBACCO,Consumer Staples,Equity,"197,003,916.75",0.36,"197,003,916.75","6,407,094.00",30.75,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
59,UCG,UNICREDIT,Financials,Equity,"192,368,407.16",0.36,"192,368,407.16","4,870,141.00",39.50,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
60,WBC,WESTPAC BANKING CORPORATION CORP,Financials,Equity,"191,180,229.59",0.35,"191,180,229.59","11,064,952.00",17.28,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
61,GBP,GBP CASH,Cash and/or Derivatives,Cash,"189,951,931.26",0.35,"189,951,931.26","149,192,532.00",127.32,United Kingdom,-,USD,0.79,GBP,-,EFA,20240531
62,9984,SOFTBANK GROUP CORP,Communication,Equity,"188,918,505.84",0.35,"188,918,505.84","3,283,300.00",57.54,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
63,ENEL,ENEL,Utilities,Equity,"187,522,677.94",0.35,"187,522,677.94","25,951,989.00",7.23,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
64,INGA,ING GROEP NV,Financials,Equity,"186,301,330.76",0.34,"186,301,330.76","10,487,130.00",17.76,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
65,MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,Equity,"184,551,858.44",0.34,"184,551,858.44","2,560,239.00",72.08,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
66,ISP,INTESA SANPAOLO,Financials,Equity,"182,696,290.19",0.34,"182,696,290.19","46,669,610.00",3.91,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
67,7974,NINTENDO LTD,Communication,Equity,"180,474,596.71",0.33,"180,474,596.71","3,315,100.00",54.44,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
68,ANZ,ANZ GROUP HOLDINGS LTD,Financials,Equity,"180,294,074.72",0.33,"180,294,074.72","9,596,408.00",18.79,Australia,Asx - All Markets,USD,1.50,AUD,"Jan 01, 1998",EFA,20240531
69,ABI,ANHEUSER-BUSCH INBEV SA,Consumer Staples,Equity,"179,353,689.97",0.33,"179,353,689.97","2,867,261.00",62.55,Belgium,Nyse Euronext - Euronext Brussels,USD,0.92,EUR,-,EFA,20240531
70,8001,ITOCHU CORP,Industrials,Equity,"178,845,321.20",0.33,"178,845,321.20","3,792,800.00",47.15,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
71,BA.,BAE SYSTEMS PLC,Industrials,Equity,"171,115,183.83",0.32,"171,115,183.83","9,655,009.00",17.72,United Kingdom,London Stock Exchange,USD,0.79,GBP,"Jan 01, 1998",EFA,20240531
72,LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,Equity,"169,453,054.10",0.31,"169,453,054.10","1,452,655.00",116.65,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
73,D05,DBS GROUP HOLDINGS LTD,Financials,Equity,"169,274,679.59",0.31,"169,274,679.59","6,357,560.00",26.63,Singapore,Singapore Exchange,USD,1.35,SGD,"Jan 01, 1998",EFA,20240531
74,IFX,INFINEON TECHNOLOGIES AG,Information Technology,Equity,"166,583,156.83",0.31,"166,583,156.83","4,166,952.00",39.98,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
75,RACE,FERRARI NV,Consumer Discretionary,Equity,"164,784,757.08",0.30,"164,784,757.08","402,203.00",409.71,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
76,ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Consumer Discretionary,Equity,"164,594,498.61",0.30,"164,594,498.61","3,480,628.00",47.29,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240531
77,PRX,PROSUS NV,Consumer Discretionary,Equity,"163,909,914.08",0.30,"163,909,914.08","4,523,234.00",36.24,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
78,ATCO A,ATLAS COPCO CLASS A,Industrials,Equity,"163,636,783.25",0.30,"163,636,783.25","8,570,721.00",19.09,Sweden,Nasdaq Omx Nordic,USD,10.52,SEK,-,EFA,20240531
79,7267,HONDA MOTOR LTD,Consumer Discretionary,Equity,"161,252,014.38",0.30,"161,252,014.38","14,320,400.00",11.26,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
80,8411,MIZUHO FINANCIAL GROUP INC,Financials,Equity,"157,424,867.63",0.29,"157,424,867.63","7,697,116.00",20.45,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
81,WES,WESFARMERS LTD,Consumer Discretionary,Equity,"156,259,202.80",0.29,"156,259,202.80","3,620,875.00",43.15,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
82,RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,Equity,"155,032,000.04",0.29,"155,032,000.04","26,856,116.00",5.77,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
83,STLAM,STELLANTIS NV,Consumer Discretionary,Equity,"155,031,685.65",0.29,"155,031,685.65","7,069,672.00",21.93,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
84,CPG,COMPASS GROUP PLC,Consumer Discretionary,Equity,"151,654,721.10",0.28,"151,654,721.10","5,433,989.00",27.91,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
85,BAS,BASF N,Materials,Equity,"149,666,768.91",0.28,"149,666,768.91","2,847,872.00",52.55,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
86,INVE B,INVESTOR CLASS B,Financials,Equity,"149,343,964.02",0.28,"149,343,964.02","5,522,786.00",27.04,Sweden,Nasdaq Omx Nordic,USD,10.52,SEK,-,EFA,20240531
87,MQG,MACQUARIE GROUP LTD DEF,Financials,Equity,"147,419,625.58",0.27,"147,419,625.58","1,160,864.00",126.99,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
88,SIKA,SIKA AG,Materials,Equity,"147,153,040.29",0.27,"147,153,040.29","486,457.00",302.50,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
89,HOLN,HOLCIM LTD AG,Materials,Equity,"145,228,963.01",0.27,"145,228,963.01","1,663,091.00",87.32,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
90,9983,FAST RETAILING LTD,Consumer Discretionary,Equity,"142,908,046.71",0.26,"142,908,046.71","558,500.00",255.88,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
91,LLOY,LLOYDS BANKING GROUP PLC,Financials,Equity,"141,997,534.75",0.26,"141,997,534.75","200,879,083.00",0.71,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
92,ALC,ALCON AG,Health Care,Equity,"141,992,033.48",0.26,"141,992,033.48","1,594,450.00",89.05,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
93,GIVN,GIVAUDAN SA,Materials,Equity,"138,374,694.90",0.26,"138,374,694.90","29,463.00","4,696.56",Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
94,VOLV B,VOLVO CLASS B,Industrials,Equity,"135,902,914.08",0.25,"135,902,914.08","5,068,504.00",26.81,Sweden,Nasdaq Omx Nordic,USD,10.52,SEK,-,EFA,20240531
95,7741,HOYA CORP,Health Care,Equity,"135,819,707.91",0.25,"135,819,707.91","1,119,800.00",121.29,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
96,EXPN,EXPERIAN PLC,Industrials,Equity,"134,595,743.57",0.25,"134,595,743.57","2,930,816.00",45.92,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
97,BARC,BARCLAYS PLC,Financials,Equity,"134,507,517.79",0.25,"134,507,517.79","48,020,563.00",2.80,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
98,JPY,JPY CASH,Cash and/or Derivatives,Cash,"134,141,674.19",0.25,"134,141,674.19","21,079,693,390.00",0.64,Japan,-,USD,157.15,JPY,-,EFA,20240531
99,4502,TAKEDA PHARMACEUTICAL LTD,Health Care,Equity,"134,082,238.25",0.25,"134,082,238.25","5,049,210.00",26.56,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
100,DHL,DEUTSCHE POST AG,Industrials,Equity,"132,744,140.72",0.25,"132,744,140.72","3,162,887.00",41.97,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
101,NG.,NATIONAL GRID PLC,Utilities,Equity,"131,874,071.98",0.24,"131,874,071.98","11,738,086.00",11.23,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
102,BN,DANONE SA,Consumer Staples,Equity,"131,860,217.51",0.24,"131,860,217.51","2,054,516.00",64.18,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
103,9433,KDDI CORP,Communication,Equity,"131,808,700.88",0.24,"131,808,700.88","4,775,900.00",27.60,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
104,ADS,ADIDAS N AG,Consumer Discretionary,Equity,"129,908,462.96",0.24,"129,908,462.96","516,912.00",251.32,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
105,AAL,ANGLO AMERICAN PLC,Materials,Equity,"129,753,678.69",0.24,"129,753,678.69","4,054,564.00",32.00,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
106,LONN,LONZA GROUP AG,Health Care,Equity,"128,112,201.30",0.24,"128,112,201.30","237,616.00",539.16,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
107,RKT,RECKITT BENCKISER GROUP PLC,Consumer Staples,Equity,"127,510,766.66",0.24,"127,510,766.66","2,249,547.00",56.68,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
108,388,HONG KONG EXCHANGES AND CLEARING L,Financials,Equity,"127,353,034.19",0.24,"127,353,034.19","3,791,200.00",33.59,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.82,HKD,-,EFA,20240531
109,SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrials,Equity,"127,227,316.30",0.24,"127,227,316.30","1,454,398.00",87.48,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
110,WKL,WOLTERS KLUWER NV,Industrials,Equity,"125,726,725.73",0.23,"125,726,725.73","792,969.00",158.55,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
111,NDA FI,NORDEA BANK,Financials,Equity,"123,040,854.97",0.23,"123,040,854.97","10,034,443.00",12.26,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.92,EUR,-,EFA,20240531
112,6367,DAIKIN INDUSTRIES LTD,Industrials,Equity,"122,898,001.85",0.23,"122,898,001.85","841,700.00",146.01,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
113,SREN,SWISS RE AG,Financials,Equity,"122,362,898.30",0.23,"122,362,898.30","962,421.00",127.14,Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
114,GMG,GOODMAN GROUP UNITS,Real Estate,Equity,"121,581,893.43",0.22,"121,581,893.43","5,453,943.00",22.29,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
115,DB1,DEUTSCHE BOERSE AG,Financials,Equity,"120,375,713.28",0.22,"120,375,713.28","606,255.00",198.56,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
116,O39,OVERSEA-CHINESE BANKING LTD,Financials,Equity,"115,983,366.86",0.21,"115,983,366.86","10,804,598.00",10.73,Singapore,Singapore Exchange,USD,1.35,SGD,-,EFA,20240531
117,6146,DISCO CORP,Information Technology,Equity,"115,001,501.80",0.21,"115,001,501.80","293,900.00",391.29,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
118,III,3I GROUP PLC,Financials,Equity,"113,212,869.56",0.21,"113,212,869.56","3,105,831.00",36.45,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
119,WDS,WOODSIDE ENERGY GROUP LTD,Energy,Equity,"111,610,058.74",0.21,"111,610,058.74","6,058,558.00",18.42,Australia,Asx - All Markets,USD,1.50,AUD,-,EFA,20240531
120,9434,SOFTBANK CORP,Communication,Equity,"109,202,225.65",0.20,"109,202,225.65","9,091,700.00",12.01,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
121,ENI,ENI,Energy,Equity,"109,122,329.13",0.20,"109,122,329.13","6,934,188.00",15.74,Italy,Borsa Italiana,USD,0.92,EUR,-,EFA,20240531
122,2914,JAPAN TOBACCO INC,Consumer Staples,Equity,"108,477,571.67",0.20,"108,477,571.67","3,829,000.00",28.33,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
123,FLTR,FLUTTER ENTERTAINMENT PLC,Consumer Discretionary,Equity,"107,411,041.63",0.20,"107,411,041.63","566,195.00",189.71,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
124,6503,MITSUBISHI ELECTRIC CORP,Industrials,Equity,"107,122,250.15",0.20,"107,122,250.15","6,166,200.00",17.37,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
125,6981,MURATA MANUFACTURING LTD,Information Technology,Equity,"103,803,431.23",0.19,"103,803,431.23","5,498,800.00",18.88,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
126,BMW,BMW AG,Consumer Discretionary,Equity,"102,927,554.36",0.19,"102,927,554.36","1,017,511.00",101.16,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
127,ASM,ASM INTERNATIONAL NV,Information Technology,Equity,"102,516,835.21",0.19,"102,516,835.21","147,506.00",695.00,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EFA,20240531
128,AMS,AMADEUS IT GROUP SA,Consumer Discretionary,Equity,"101,963,428.74",0.19,"101,963,428.74","1,437,459.00",70.93,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240531
129,RIO,RIO TINTO LTD,Materials,Equity,"101,586,918.69",0.19,"101,586,918.69","1,184,482.00",85.76,Australia,Asx - All Markets,USD,1.50,AUD,"Jan 02, 1985",EFA,20240531
130,DBK,DEUTSCHE BANK AG,Financials,Equity,"101,239,249.99",0.19,"101,239,249.99","6,124,819.00",16.53,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
131,AHT,ASHTEAD GROUP PLC,Industrials,Equity,"101,053,607.97",0.19,"101,053,607.97","1,395,390.00",72.42,United Kingdom,London Stock Exchange,USD,0.79,GBP,-,EFA,20240531
132,CAP,CAPGEMINI,Information Technology,Equity,"99,874,060.55",0.18,"99,874,060.55","495,684.00",201.49,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
133,ENGI,ENGIE SA,Utilities,Equity,"98,286,445.80",0.18,"98,286,445.80","5,827,906.00",16.86,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
134,6902,DENSO CORP,Consumer Discretionary,Equity,"97,645,244.84",0.18,"97,645,244.84","6,034,000.00",16.18,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
135,4661,ORIENTAL LAND LTD,Consumer Discretionary,Equity,"97,189,867.96",0.18,"97,189,867.96","3,481,400.00",27.92,Japan,Tokyo Stock Exchange,USD,157.15,JPY,-,EFA,20240531
136,RI,PERNOD RICARD SA,Consumer Staples,Equity,"97,014,878.54",0.18,"97,014,878.54","652,539.00",148.67,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240531
137,PGHN,PARTNERS GROUP HOLDING AG,Financials,Equity,"96,806,180.79",0.18,"96,806,180.79","72,416.00","1,336.81",Switzerland,SIX Swiss Exchange,USD,0.90,CHF,-,EFA,20240531
138,BAYN,BAYER AG,Health Care,Equity,"96,102,587.93",0.18,"96,102,587.93","3,134,733.00",30.66,Germany,Xetra,USD,0.92,EUR,-,EFA,20240531
